Obec;PSC
Malešice (èást);10000
Strašnice (èást);10000
Vinohrady (èást);10000
Vršovice (èást);10000
ikov (èást);10000
Michle (èást);10100
Strašnice (èást);10100
Vinohrady (èást);10100
Vršovice (èást);10100
Dolní Mìcholupy (èást);10200
Horní Mìcholupy (èást);10200
Hostivaø (èást);10200
Štìrboholy (èást);10200
Zábìhlice (èást);10200
Benice;10300
Kolovraty;10300
Lipany;10300
Nedvìzí u Øíèan;10300
Hájek u Uhøínìvsi;10400
Královice;10400
Køeslice;10400
Pitkovice;10400
Uhøínìves;10400
Michle (èást);10600
Zábìhlice (èást);10600
Dolní Mìcholupy (èást);10700
Dubeè;10700
Malešice (èást);10800
Štìrboholy (èást);10800
Strašnice (èást);10800
Horní Mìcholupy (èást);10900
Hostivaø (èást);10900
Petrovice;10900
Štìrboholy (èást);10900
Josefov;11000
Nové Mìsto (èást);11000
Staré Mìsto;11000
Vinohrady (èást);11000
Dolní Mìcholupy (èást);11101
Holešovice (èást);11800
Hradèany (èást);11800
Malá Strana (èást);11800
Hradèany (èást);11900
Nové Mìsto (èást);12000
Vinohrady (èást);12000
Nové Mìsto (èást);12800
Nusle (èást);12800
Vyšehrad;12800
Strašnice (èást);13000
Vinohrady (èást);13000
Vysoèany (èást);13000
ikov (èást);13000
Braník (èást);14000
Krè (èást);14000
Michle (èást);14000
Nusle (èást);14000
Podolí (èást);14000
Vinohrady (èást);14000
Vršovice (èást);14000
Chodov (èást);14100
Michle (èást);14100
Zábìhlice (èást);14100
Braník (èást);14200
Hodkovièky (èást);14200
Kamık (èást);14200
Krè (èást);14200
Lhotka (èást);14200
Libuš;14200
Písnice;14200
Cholupice;14300
Kamık (èást);14300
Komoøany;14300
Modøany;14300
Toèná;14300
Braník (èást);14700
Hodkovièky (èást);14700
Krè (èást);14700
Lhotka (èást);14700
Podolí (èást);14700
Chodov (èást);14800
Kunratice;14800
Chodov (èást);14900
Háje;14900
Šeberov;14900
Újezd u Prùhonic;14900
Zdimìøice (èást);14900
Hluboèepy (èást);15000
Košíøe (èást);15000
Malá Strana (èást);15000
Motol (èást);15000
Radlice (èást);15000
Smíchov;15000
Hluboèepy (èást);15200
Jinonice (èást);15200
Radotín (èást);15300
Hluboèepy (èást);15400
Holynì;15400
Lochkov;15400
Slivenec;15400
Jinonice (èást);15500
Øeporyje;15500
Stodùlky (èást);15500
Tøebonice (èást);15500
Zadní Kopanina;15500
Sobín;15521
Tøebonice (èást);15521
Zlièín;15521
Lipence (èást);15531
Zbraslav;15600
Jinonice (èást);15800
Košíøe (èást);15800
Radlice (èást);15800
Stodùlky (èást);15800
Lahovice;15900
Malá Chuchle;15900
Velká Chuchle;15900
Bubeneè (èást);16000
Dejvice (èást);16000
Hradèany (èást);16000
Sedlec;16000
Støešovice (èást);16000
Vokovice;16000
Liboc (èást);16100
Øepy (èást);16100
Ruzynì;16100
Bøevnov (èást);16200
Dejvice (èást);16200
Liboc (èást);16200
Støešovice (èást);16200
Veleslavín;16200
Øepy (èást);16300
Dejvice (èást);16400
Liboc (èást);16400
Nebušice;16400
Pøední Kopanina;16400
Lysolaje;16500
Suchdol;16500
Bøevnov (èást);16900
Hradèany (èást);16900
Motol (èást);16900
Støešovice (èást);16900
Bubeneè (èást);17000
Holešovice (èást);17000
Troja (èást);17100
Libeò (èást);18000
Støíkov (èást);18000
Bohnice (èást);18100
Èimice (èást);18100
Troja (èást);18100
Bohnice (èást);18200
Bøezinìves;18200
Ïáblice;18200
